name,student.count,ft.pct,med.sat,retain.value,ft.fac,six.yr.grad,four.yr.grad
Augusta State University,5797,74.5,965,68.6,54.5,24.5,6.9
Fort Valley State University,3500,87.5,858,63.5,64.3,34.3,14.9
University of Georgia,25947,94,1226,94.1,83.8,79.8,51.9
North Georgia College & State University,5353,84.3,1093,79.7,62.6,49.5,27.2
Armstrong Atlantic State University,6918,71.5,996,71.9,59.3,28.1,9.1
Georgia Southern University,17044,90,1086,79.5,87.9,45,18.3
Georgia State University,23483,74.7,1084,84,75.5,48.2,17.1
University of West Georgia,9707,83.7,966,73.2,77.6,35,11.9
Albany State University,4166,86,879,71.5,53.1,44.9,16.3
Columbus State University,7069,70.7,957,69.7,56.4,33.7,12.2
Georgia Institute of Technology,13750,91.5,1320,94.3,84.6,79.7,32.9
Georgia Southwestern State University,2847,75.1,970,66.4,66.2,30.8,11.4
Georgia College & State University,5715,90.7,1129,85.5,78.6,59.5,35.1
Valdosta State University,10794,88,1010,68.1,80.1,40.4,16.6
Clayton State University,6366,59.5,943,60.2,57,21.9,7.5
Kennesaw State University,21467,76.5,1060,77,56.1,41.1,10.8
Southern Polytechnic State University,4812,71.5,1115,73.7,69.7,32.6,7.8
