G,Date,Year,Series,Tm,Home,Opp,GameNum,Result,Diff,GS,MP,FG,FGA,FG.Pct,3P,3PA,3P.Pct,FT,FTA,FT.Pct,RB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,4/19/1985,1985,EC1,CHI,0,MIL,1,L ,-9,1,44:00:00,7,19,0.368,0,1,0,9,10,0.9,4,10,3,0,1,3,23,21.5
2,4/21/1985,1985,EC1,CHI,0,MIL,2,L ,-7,1,43:00:00,9,17,0.529,1,4,0.25,11,12,0.917,4,12,2,0,7,5,30,24.3
3,4/24/1985,1985,EC1,CHI,1,MIL,3,W ,2,1,42:00:00,12,26,0.462,0,1,0,11,16,0.688,8,7,4,1,3,4,35,28.2
4,4/26/1985,1985,EC1,CHI,1,MIL,4,L ,-8,1,42:00:00,6,16,0.375,0,2,0,17,20,0.85,7,5,2,3,4,3,29,24.3
1,4/17/1986,1986,EC1,CHI,0,BOS,1,L ,-19,1,43:00:00,18,36,0.5,0,0,,13,15,0.867,4,2,2,1,5,3,49,29.3
2,4/20/1986,1986,EC1,CHI,0,BOS,2,L ,-4,1,53:00:00,22,41,0.537,0,0,,19,21,0.905,5,6,3,2,4,4,63,47.2
3,4/22/1986,1986,EC1,CHI,1,BOS,3,L ,-18,1,39:00:00,8,18,0.444,1,1,1,2,3,0.667,10,9,2,1,5,6,19,15.4
1,4/23/1987,1987,EC1,CHI,0,BOS,1,L ,-4,1,44:00:00,12,25,0.48,0,1,0,11,11,1,6,7,4,2,2,4,35,30.8
2,4/26/1987,1987,EC1,CHI,0,BOS,2,L ,-9,1,45:00:00,14,29,0.483,2,3,0.667,12,14,0.857,4,4,0,4,4,3,42,28.5
3,4/28/1987,1987,EC1,CHI,1,BOS,3,L ,-11,1,39:00:00,9,30,0.3,0,1,0,12,14,0.857,11,7,2,1,2,4,30,21.5
1,4/28/1988,1988,EC1,CHI,1,CLE,1,W ,11,1,44:00:00,19,35,0.543,0,0,,12,12,1,7,2,2,2,5,3,50,34.2
2,5/1/1988,1988,EC1,CHI,1,CLE,2,W ,5,1,44:00:00,24,45,0.533,0,0,,7,7,1,6,3,4,1,1,4,55,40.3
3,5/3/1988,1988,EC1,CHI,0,CLE,3,L ,-8,1,44:00:00,12,25,0.48,0,0,,14,15,0.933,5,9,2,1,4,5,38,30.2
4,5/5/1988,1988,EC1,CHI,0,CLE,4,L ,-6,1,42:00:00,18,25,0.72,0,0,,8,9,0.889,5,4,4,2,4,6,44,37.4
5,5/8/1988,1988,EC1,CHI,1,CLE,5,W ,6,1,43:00:00,12,22,0.545,0,0,,15,18,0.833,4,6,2,2,7,4,39,27.8
