Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS
8/26/2026,LAD,@ATL,1,DH,5,2,1,0,0,1,0,1,0
8/25/2026,LAD,@ATL,1,DH,5,1,0,1,0,0,0,0,0
8/23/2026,LAD,PIT,1,DH,4,0,0,0,0,1,0,1,0
8/22/2026,LAD,PIT,1,DH,5,0,0,0,0,0,0,0,0
8/21/2026,LAD,PIT,1,DH,5,1,0,0,0,2,0,1,0
8/19/2026,LAD,@COL,1,DH,5,0,0,0,0,0,0,0,0
8/18/2026,LAD,@COL,1,DH,5,1,0,0,1,1,2,0,0
8/17/2026,LAD,@COL,1,DH,5,4,0,0,2,4,3,0,0
8/16/2026,LAD,MIL,1,DH,4,1,0,0,0,0,0,0,0
8/15/2026,LAD,MIL,1,DH,4,1,0,1,0,0,1,0,0
8/14/2026,LAD,MIL,1,DH,4,0,0,0,0,0,0,0,0
8/13/2026,LAD,MIL,1,DH,4,1,1,0,0,0,0,0,0
8/12/2026,LAD,KCR,1,DH,4,2,0,0,1,1,2,0,0
8/11/2026,LAD,KCR,1,DH,5,0,0,0,0,1,0,0,0
8/10/2026,LAD,KCR,1,DH,4,2,1,0,0,2,1,1,0
8/9/2026,LAD,@ARI,1,DH,4,0,0,0,0,0,0,0,0
8/8/2026,LAD,@ARI,1,DH,5,1,0,0,0,0,1,0,0
8/7/2026,LAD,@ARI,1,DH,4,0,0,0,0,0,0,0,1
8/5/2026,LAD,@CHC,1,DH,5,3,0,0,2,2,3,0,0
8/4/2026,LAD,@CHC,1,DH,4,1,0,0,0,0,0,0,0
8/3/2026,LAD,@CHC,1,DH,4,2,0,0,0,1,0,0,0
8/2/2026,LAD,BOS,1,DH,5,1,0,0,0,0,0,0,0
8/1/2026,LAD,BOS,1,DH,4,1,0,0,0,0,0,0,0
7/31/2026,LAD,BOS,1,DH,5,2,1,0,1,2,2,0,0
7/29/2026,LAD,SEA,1,DH,4,2,1,0,0,1,1,0,0
7/28/2026,LAD,SEA,1,DH,5,3,1,0,1,1,3,0,0
7/26/2026,LAD,@NYM,1,DH,4,1,1,0,0,0,0,0,0
7/25/2026,LAD,@NYM,1,DH,5,0,0,0,0,0,0,0,0
7/24/2026,LAD,@NYM,1,DH,5,2,1,0,0,0,1,0,0
7/22/2026,LAD,@PHI,1,DH,5,0,0,0,0,0,0,0,0
7/21/2026,LAD,@PHI,1,DH,4,1,0,0,0,0,0,0,0
7/20/2026,LAD,@PHI,1,DH,5,0,0,0,0,0,0,0,0
7/19/2026,LAD,@NYY,1,DH,4,1,0,0,0,0,0,0,0
7/19/2026,LAD,@NYY,1,DH,5,2,1,0,0,1,2,0,0
7/17/2026,LAD,@NYY,1,DH,4,0,0,0,0,0,0,0,0
7/12/2026,LAD,ARI,1,DH,4,2,1,0,1,2,1,0,0
7/11/2026,LAD,ARI,1,DH,3,1,0,0,0,0,0,0,0
7/10/2026,LAD,ARI,1,DH,4,1,0,0,1,1,1,0,0
7/8/2026,LAD,COL,1,DH,4,0,0,0,0,0,0,0,0
7/7/2026,LAD,COL,1,DH,5,1,0,0,1,1,1,0,0
7/6/2026,LAD,COL,1,DH,5,3,0,0,1,1,4,0,0
7/5/2026,LAD,SDP,1,DH,4,1,0,0,0,0,1,0,0
7/3/2026,LAD,SDP,1,DH-P,3,0,0,0,0,0,0,0,0
7/2/2026,LAD,SDP,1,DH,5,1,0,0,0,0,0,0,0
7/1/2026,LAD,@ATH,1,DH,5,0,0,0,0,0,0,0,0
6/30/2026,LAD,@ATH,1,DH,5,1,0,0,0,0,0,0,0
6/29/2026,LAD,@ATH,1,DH,5,2,0,0,1,1,3,0,0
6/28/2026,LAD,@SDP,1,DH,5,1,0,0,0,1,1,0,0
6/27/2026,LAD,@SDP,1,DH,5,2,0,0,0,2,0,0,0
6/26/2026,LAD,@SDP,1,DH,4,1,0,0,0,0,0,0,0
6/24/2026,LAD,@MIN,1,DH-P,5,2,0,0,0,1,1,0,0
6/23/2026,LAD,@MIN,1,DH,5,0,0,0,0,1,1,0,0
6/22/2026,LAD,@MIN,1,DH,5,1,0,0,1,1,1,0,0
6/21/2026,LAD,BAL,1,DH,3,1,0,0,0,1,0,0,0
6/20/2026,LAD,BAL,1,DH,4,1,0,0,1,1,1,0,0
6/17/2026,LAD,TBR,5,P,1,0,0,0,0,0,0,0,0
6/16/2026,LAD,TBR,1,DH,4,1,0,0,1,1,1,0,0
