Tm,R,BA,OBP,SLG,OPS
ARI,734,0.259,0.328,0.418,0.746
ATL,700,0.247,0.320,0.389,0.709
CHC,613,0.240,0.302,0.378,0.680
CIN,669,0.251,0.315,0.411,0.726
COL,758,0.274,0.330,0.436,0.766
HOU,583,0.236,0.302,0.371,0.673
LAD,637,0.252,0.317,0.374,0.690
MIA,609,0.244,0.308,0.382,0.690
MIL,776,0.259,0.325,0.437,0.762
NYM,650,0.249,0.316,0.386,0.701
PHI,684,0.255,0.317,0.400,0.716
PIT,651,0.243,0.304,0.395,0.699
SDP,651,0.247,0.319,0.380,0.699
SFG,718,0.269,0.327,0.397,0.724
STL,765,0.271,0.338,0.421,0.759
WSN,731,0.261,0.322,0.428,0.750
