Salary,Rank,Gender,Yrs
59486,Assistant,M,1
63356,Assistant,M,2
56987,Assistant,M,2
55209,Assistant,M,4
59861,Assistant,F,8
56581,Assistant,F,3
56702,Assistant,M,4
54964,Assistant,F,1
57983,Assistant,M,3
64658,Associate,M,7
65244,Associate,F,8
69543,Associate,M,14
63743,Associate,F,11
61828,Associate,M,9
72015,Associate,M,12
66888,Associate,F,6
61597,Associate,F,7
68436,Associate,M,8
82748,Full,M,31
87268,Full,M,28
81896,Full,M,26
82854,Full,M,20
74837,Full,F,14
79271,Full,M,18
72263,Full,M,11
78342,Full,F,14
82968,Full,M,19
75383,Full,F,16
84663,Full,F,35
77634,Full,M,17
