price,mileage,trim,location
19000,20588,base,ATLANTA
18000,21816,base,CHARLOTTE
22350,22465,se,ATLANTA
22500,22775,lx,AUGUSTA
19100,22981,base,ATLANTA
21950,23504,lx,AUGUSTA
20450,24664,lx,COLUMBIA
19050,25105,base,JACKSONVILLE
20700,25433,lx,ATLANTA
18450,26107,base,ATLANTA
17950,26335,base,JACKSONVILLE
20950,26875,lx,COLUMBIA
22650,27012,se,JACKSONVILLE
21850,27140,se,CHARLOTTE
18100,27203,base,COLUMBIA
22200,27245,se,COLUMBIA
21800,27370,lx,COLUMBIA
21700,27534,se,ATLANTA
18550,27778,base,CHARLOTTE
18250,28491,base,ATLANTA
18600,29162,base,AUGUSTA
21650,29440,se,JACKSONVILLE
21450,30102,se,COLUMBIA
19750,30249,lx,JACKSONVILLE
22050,30393,se,AUGUSTA
18050,31180,base,COLUMBIA
17350,31183,base,CHARLOTTE
16600,32185,base,COLUMBIA
18600,32343,lx,JACKSONVILLE
20400,32855,lx,ATLANTA
19950,32901,lx,ATLANTA
19300,33218,lx,AUGUSTA
17900,33297,base,ATLANTA
17450,33358,base,COLUMBIA
18250,34604,base,ATLANTA
19950,35157,lx,JACKSONVILLE
21600,35571,se,AUGUSTA
19750,35992,se,JACKSONVILLE
17250,36117,base,COLUMBIA
21200,37166,se,ATLANTA
22050,38152,se,ATLANTA
19650,38179,se,ATLANTA
19100,38715,lx,JACKSONVILLE
20550,39101,lx,JACKSONVILLE
18150,39164,lx,JACKSONVILLE
20450,39638,se,ATLANTA
15300,42124,base,CHARLOTTE
18800,42141,se,JACKSONVILLE
19700,42170,lx,JACKSONVILLE
20550,42510,se,JACKSONVILLE
15000,43066,base,AUGUSTA
16350,43487,base,AUGUSTA
14950,44121,base,ATLANTA
18650,44316,se,AUGUSTA
17950,44989,base,JACKSONVILLE
15850,45697,base,CHARLOTTE
16450,46066,base,AUGUSTA
18600,46416,lx,AUGUSTA
16650,46743,base,AUGUSTA
18900,47115,se,COLUMBIA
19500,47407,se,JACKSONVILLE
16250,47800,base,COLUMBIA
19050,48362,lx,CHARLOTTE
16650,48945,base,ATLANTA
13300,49112,base,CHARLOTTE
15650,49331,base,AUGUSTA
19500,49637,se,CHARLOTTE
19850,49664,lx,ATLANTA
14900,50482,base,AUGUSTA
20300,50998,se,ATLANTA
15700,52193,base,CHARLOTTE
15250,52511,base,AUGUSTA
18350,52682,lx,ATLANTA
14800,52735,base,COLUMBIA
17400,52868,lx,CHARLOTTE
20600,53437,se,ATLANTA
20000,54641,se,AUGUSTA
15000,54745,base,COLUMBIA
20100,54817,se,ATLANTA
16200,54937,base,ATLANTA
19400,54972,se,COLUMBIA
18750,55110,se,ATLANTA
12800,55169,base,COLUMBIA
16950,55473,lx,AUGUSTA
14550,55655,base,CHARLOTTE
17700,55692,lx,ATLANTA
18650,56031,lx,ATLANTA
15400,56037,base,AUGUSTA
18600,56713,se,CHARLOTTE
12500,56950,base,ATLANTA
